,md,inc,azi,x,y,z,is_inflection,ti,total_ti
156,10982.0,90.1,342.45,1278.8824,-841.3228,9724.6811,True,5.321296814519982e-06,77.87280232788717
157,11078.0,91.13,346.05,1371.2563,-867.3752,9723.6503,True,0.0001775920232101047,81.16926090336754
158,11164.0,90.07,344.74,1454.4698,-889.0586,9722.7497,False,0.0,81.16926090336754
159,11255.0,88.25,342.35,1541.7234,-914.8293,9724.084,True,0.0001147372937619906,84.26143091408004
160,11356.0,88.74,346.18,1638.8867,-942.2043,9726.7376,True,0.00018929572917936177,87.89908159391616
161,11449.0,91.7,344.5,1728.8452,-965.7373,9726.3806,True,0.00014679724729416144,90.87255217335091
162,11542.0,90.06,345.8,1818.7235,-989.5678,9724.9522,True,5.5394375848560884e-05,92.52880413830064
163,11634.0,90.42,345.6,1907.872,-1012.2915,9724.5669,True,1.7692609570740814e-06,93.38478261856046
164,11734.0,89.23,345.77,2004.7648,-1037.0162,9724.8723,True,1.9062990584073347e-05,94.60091555045022
165,11830.0,90.52,344.79,2097.6107,-1061.4085,9725.0817,False,0.0,94.60091555045022
166,11925.0,91.02,344.79,2189.2744,-1086.3301,9723.8051,True,2.7838448697359297e-06,96.39075180004129
167,12017.0,86.51,343.91,2277.8195,-1111.1351,9725.7875,True,0.00026873607986699355,101.4031368457982
168,12116.0,89.79,343.2,2372.7064,-1139.1434,9728.9831,True,0.00014284664824137927,104.60596370119126
169,12204.0,91.41,344.75,2457.2768,-1163.4337,9728.0615,True,6.324355012021776e-05,106.4445327290857
170,12301.0,87.75,344.67,2550.8249,-1189.008,9728.7725,True,0.00017023396331206087,110.12804618064223
171,12400.0,91.62,346.18,2646.6166,-1213.915,9729.3167,False,0.0,110.12804618064223
172,12494.0,92.45,348.82,2738.3215,-1234.246,9725.9782,True,9.712668477046549e-05,113.66922131309428
173,12586.0,91.21,347.08,2828.2431,-1253.442,9723.0401,False,0.0,113.66922131309428
174,12679.0,90.75,347.08,2918.8752,-1274.2328,9721.4495,False,0.0,113.66922131309428
175,12773.0,89.48,349.32,3010.8808,-1293.4537,9721.2608,True,8.437940542438405e-05,117.91560152682467
176,12868.0,90.38,351.87,3104.595,-1308.9764,9721.3768,True,9.31458142612307e-05,120.47223948500628
177,12964.0,90.14,348.84,3199.226,-1325.0585,9720.9411,True,0.00011666885717964703,123.46851542185046
178,13056.0,90.84,347.4,3289.2492,-1343.9965,9720.1543,True,3.287990133316043e-05,125.0088760944191
179,13152.0,89.34,348.71,3383.1657,-1363.8648,9720.0035,True,4.9859534920315696e-05,126.90996755311136
180,13247.0,89.72,347.52,3476.1242,-1383.4289,9720.7828,False,0.0,126.90996755311136
181,13338.0,90.19,345.98,3564.6987,-1404.2854,9720.8543,True,3.376848070946181e-05,129.50595202048672
182,13433.0,91.72,348.29,3657.292,-1425.433,9719.2707,True,9.707897621269446e-05,132.258493199212
183,13526.0,94.48,347.37,3748.0594,-1445.0069,9714.2418,True,0.00010706429655726879,135.18544373171488
184,13618.0,91.84,344.21,3837.0888,-1467.5547,9709.1695,False,0.0,135.18544373171488
185,13713.0,86.23,342.8,3928.1277,-1494.512,9710.7689,True,0.00042490130320871344,144.93851054568128
186,13802.0,86.29,343.08,4013.0302,-1520.5665,9716.5743,False,0.0,144.93851054568128
187,13900.0,88.84,344.03,4106.9278,-1548.2814,9720.7377,False,0.0,144.93851054568128
188,13994.0,89.04,345.73,4197.6547,-1572.7954,9722.4767,False,0.0,144.93851054568128
189,14086.0,91.25,346.11,4286.8848,-1595.1753,9722.2439,True,6.351822879535618e-05,150.51379776689356
190,14182.0,91.02,345.8,4379.9965,-1618.4684,9720.3423,False,0.0,150.51379776689356
191,14276.0,90.07,345.51,4471.0604,-1641.7565,9719.4482,True,1.3077461707977633e-05,153.04025238989973
192,14372.0,87.51,347.81,4564.4351,-1663.8991,9721.4756,True,0.00014979028906392244,157.0504441752161
193,14467.0,88.28,345.66,4656.8318,-1685.6816,9724.9654,True,6.614610919553066e-05,159.48520617638997
194,14560.0,87.0,344.82,4746.684,-1709.3542,9728.7949,True,3.03571546191872e-05,161.21437693483523
195,14650.0,93.66,347.52,4834.016,-1730.8542,9728.2768,True,0.0006551709899376146,175.03241437689306
196,14749.0,90.38,346.92,4930.4897,-1752.7376,9724.7876,False,0.0,175.03241437689306
197,14847.0,88.73,344.84,5025.5175,-1776.642,9725.5488,True,8.942590284721774e-05,179.47008908084644
198,14932.0,90.83,346.2,5107.8103,-1797.8937,9725.8752,True,7.985581423319843e-05,182.15521568186085
199,15030.0,89.93,336.05,5200.4162,-1829.5551,9725.2235,True,0.0013186345598441562,209.8638323700555
200,15127.0,87.15,340.46,5290.4526,-1865.4694,9727.696,False,0.0,209.8638323700555
201,15219.0,86.85,342.73,5377.6212,-1894.4752,9732.5115,True,6.55605671102677e-05,214.13977330869656
202,15313.0,88.15,344.93,5467.8093,-1920.6251,9736.6121,True,8.344344553812277e-05,217.31995725036236
203,15413.0,87.73,346.02,5564.5489,-1945.6888,9740.2068,True,1.6943733626817448e-05,219.29159864901814
204,15499.0,91.05,347.14,5648.1829,-1965.6439,9741.1223,False,0.0,219.29159864901814
205,15596.0,92.93,348.66,5742.9635,-1985.9638,9737.7539,True,7.405483339928409e-05,223.6988908774759
206,15690.0,91.73,347.49,5834.8555,-2005.3708,9733.9323,False,0.0,223.6988908774759
207,15785.0,90.57,345.7,5927.2432,-2027.3895,9732.0256,True,5.841144043516877e-05,227.95371005161687
208,15876.0,88.28,346.98,6015.657,-2048.8773,9732.9388,True,8.698674299711939e-05,231.24677006371445
209,15972.0,88.25,345.83,6108.9229,-2071.432,9735.8454,True,1.6769168549313207e-05,233.1774302799846
210,16067.0,88.94,347.28,6201.2885,-2093.5131,9738.1749,False,0.0,233.1774302799846
211,16160.0,91.75,348.21,6292.1575,-2113.2511,9737.6149,True,0.00011116404156452653,238.6347374187141
212,16253.0,91.39,346.85,6382.9272,-2133.3245,9735.0668,False,0.0,238.6347374187141
213,16352.0,91.3,346.57,6479.2492,-2156.0763,9732.743,False,0.0,238.6347374187141
214,16443.0,90.02,344.83,6567.4185,-2178.5506,9731.6947,True,5.926406095224657e-05,244.58624438582277
215,16539.0,89.89,347.28,6660.582,-2201.6839,9731.7701,False,0.0,244.58624438582277
216,16631.0,89.69,348.7,6750.5653,-2220.8269,9732.1074,True,2.58458046689114e-05,248.26638024819883
217,16724.0,88.33,346.86,6841.4386,-2240.5073,9733.7143,True,6.60879093765665e-05,251.2903980173985
218,16819.0,88.76,347.47,6934.0344,-2261.604,9736.1265,True,7.11157891775116e-06,253.04536249055042
219,16915.0,90.84,347.08,7027.6706,-2282.7487,9736.4616,False,0.0,253.04536249055042
220,17007.0,91.1,344.91,7116.9176,-2305.0087,9734.904,True,6.139939492100233e-05,257.5868967655143
221,17104.0,92.59,346.13,7210.7832,-2329.2495,9731.781,True,4.674698055295856e-05,260.31877995456153
